,12,11,10,9,8,7,6,5,4,3,2,1,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12
12,1,1,1,2,1,9,1,11,4,55,167,14,218,699,281,27,167,1,40,20,10,1,1,33
11,1,1,1,1,1,1,1,1,1,1,2,29,1,61,1,17,6,1,3,1,1,1,3,1
10,1,1,1,1,1,7,1,3,4,1,151,1,297,252,260,1,70,2,29,14,1,12,1,5
9,1,1,1,1,1,5,1,16,1,225,101,116,15,1469,7,191,56,1,44,1,129,4,1,3
8,2,1,1,1,1,1,1,4,28,3,199,2,683,38,369,18,79,1,20,114,1,10,1,14
7,1,1,4,2,31,10,1,197,22,233,668,235,159,2951,576,299,245,3,576,87,85,22,2,46
6,1,1,1,1,1,1,1,3,2,6,16,10,52,32,3,9,4,1,2,1,2,1,1,2
5,1,1,10,13,3,154,1,142,220,503,2270,25,1092,2652,1368,38,1166,3,379,132,41,25,1,92
4,1,1,4,1,68,30,9,175,3,834,60,610,25,2623,6,423,206,4,200,1,103,1,4,27
3,44,4,2,160,2,363,10,565,1115,59,7134,24,1753,705,5965,10,1421,2,499,220,3,143,1,168
2,76,1,128,35,265,925,24,2100,59,7618,9402,4462,30,16352,1041,2419,2483,10,2355,34,868,84,2,162
1,27,42,3,111,8,316,31,100,667,27,3113,29,4478,22,1156,11,497,10,108,348,4,51,2,52
-1,34,1,25,6,128,29,21,238,25,542,30,4171,33,6283,24,1634,43,17,292,1,123,1,11,13
-2,430,23,154,723,57,1387,15,1788,2078,801,19245,38,4041,13607,8889,60,3002,18,1338,328,36,132,2,158
-3,332,2,363,19,474,1037,10,2084,12,6243,981,829,32,7834,24,938,336,3,378,9,162,3,1,28
-4,94,19,18,192,7,308,3,287,615,18,2413,4,437,96,1427,4,315,5,55,41,1,9,1,2
-5,193,1,102,312,187,500,1,1430,57,1726,2364,337,39,2202,327,236,103,5,185,3,6,6,1,6
-6,1,1,1,3,6,7,1,2,3,2,15,11,12,8,5,7,1,1,2,1,1,1,1,1
-7,301,19,162,467,117,900,10,714,373,856,1585,29,170,386,286,15,69,1,9,12,4,1,1,2
-8,22,2,27,1,173,100,4,155,1,370,60,236,8,178,1,27,1,1,2,1,3,1,1,1
-9,57,8,42,208,4,157,1,146,91,6,606,4,62,19,148,1,5,1,1,1,1,1,1,1
-10,48,1,48,7,23,37,1,35,1,128,87,33,3,43,1,2,5,1,1,1,1,1,1,1
-11,3,2,1,7,1,8,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1
-12,81,2,8,74,20,99,4,89,30,108,222,23,5,7,6,1,8,1,1,1,1,1,1,1
